wk	weight	cum_weight
2022-09-26	1.273335334	891.3054614
2022-10-03	1.419695717	892.7251572
2022-10-10	1.661190349	894.3863475
2022-10-17	1.910003	896.2963505
2022-10-24	2.356402169	898.6527527
2022-10-31	2.495444533	901.1481972
2022-11-07	2.86866351	904.0168607
2022-11-14	3.102840123	907.1197008
2022-11-21	3.329698717	910.4493996
2022-11-28	3.344334755	913.7937343
2022-12-05	3.468741081	917.2624754
2022-12-12	3.541921273	920.8043967
2022-12-19	3.527285234	924.3316819
2022-12-26	3.593147407	927.9248293
2023-01-02	3.666327598	931.5911569
2023-01-09	3.768779867	935.3599368
2023-01-16	3.841960058	939.2018968
2023-01-23	3.951730346	943.1536272
2023-01-30	4.00295648	947.1565837
2023-02-06	4.105408748	951.2619924
2023-02-13	4.266405169	955.5283976
2023-02-20	4.339585361	959.8679829
2023-02-27	4.390811495	964.2587944
2023-03-06	4.442037629	968.7008321
2023-03-13	4.251769131	972.9526012
2023-03-20	4.17858894	977.1311901
2023-03-27	3.768779867	980.89997
2023-04-03	3.680963637	984.5809336
2023-04-10	3.432150985	988.0130846
2023-04-17	3.344334755	991.3574194
2023-04-24	3.029659932	994.3870793
2023-05-01	2.941843702	997.328923
2023-05-08	2.671076993	1000
